CODE ID;NOM DE LA MAISON;ADRESSE;CODE POSTAL;VILLE;DEPARTEMENT;REGION;PAYS;DESCRIPTIF;PROPRIETE /GESTION;Voir le programme;Site web;Facebook;Twitter;Instagram;Dailymotion;TAG Année de labellisation;TAG maison-des-illustres;TAG monument-historique;TAG tourisme-et-handicap;TAG musee-de-france;TAG architecture-contemporaine-remarquable;TAG patrimoine-mondial-de-lunesco;TAG jardin-remarquable;TAG patrimoine industriel;TAG litterature-et-idees;TAG arts-et-architecture;TAG sciences-et-industrie;TAG musique-theatre-et-cinema;TAG histoire-et-politique;geolocalisation
APN00_28_MI060;Château de Miromesnil;Rue de Miromesnil;76550;Tourville-sur-Arques;Seine-Maritime;Normandie;France;"Guy de Maupassant (1850-1893) a conçu, en une décennie seulement, une œuvre singulière composée de nouvelles et de romans devenus des classiques, comme ""Boule de Suif"", ""Le Horla"" ou ""Bel-Ami"".Il se place très tôt sous la protection de Flaubert qui était un ami de son oncle. Si le réalisme domine dans son commentaire du quotidien, l'écrivain s'est tout de même essayé aux styles comique, tragique ou fantastique. La Normandie apparaît souvent dans son œuvre ainsi Rouen dans ""Une vie"" ou Le Havre dans ""Pierre et Jean"".Né dans ce château alors loué par ses parents et qui avait été la propriété du marquis de Miromesnil, Maupassant y passa les trois premières années de sa vie. Les visiteurs peuvent se promener, voire séjourner, dans la seule demeure de l'écrivain qui soit, à ce jour, labellisée.";Propriété privée.;;;https://www.facebook.com/chateaudemiromesnilesamisdemiromesnil/;;https://www.instagram.com/chateaudemiromesnil/;;labellisee-en-2012;maison-des-illustres;monument-historique;;;;;jardin-remarquable;;litterature-et-idees;;;;;49.858559,1.103208
APN00_11_MI089;Maison-atelier Foujita;7 route de Gif;91190;Villiers-le-Bâcle;Essonne;Île-de-France;France;"Français d’origine japonaise, Fujita Tsuguharu, dit Léonard Foujita (1886-1968), est un artiste complet, à la fois peintre, dessinateur, graveur, illustrateur, céramiste, photographe… Il connaît un immense succès au Salon d’automne de 1922 avec la peinture ""Nu couché à la toile de Jouy"", qui représente l’égérie Kiki de Montparnasse. Après une période d’itinérance en Amérique latine, aux États- Unis et au Japon, il revient en France dans les années 1950. Foujita acquiert cette petite maison nichée au creux de la vallée de Chevreuse en 1960 et la transforme pour en faire sa résidence-atelier. Fasciné par l’artisanat et le design, il y conçoit tout jusqu’au moindre détail. Il y vit au côté de sa femme les huit dernières années de sa vie. La maison atelier offre un aperçu de l’univers intime du créateur. Elle conserve notamment une grande peinture murale, travail préparatoire au décor de la chapelle Notre-Dame-de-la-Paix à Reims.";Propriété du Conseil départemental de l’Essonne.;;http://www.essonne.fr;https://www.facebook.com/maisonatelierfoujita/;;;;labellisee-en-2011;maison-des-illustres;monument-historique;;;;;;;;arts-et-architecture;;;;48.726231,2.123655
APN00_11_MI181;Maison Jean Monnet;7 chemin du Vieux-Pressoir;78490;Bazoches-sur-Guyonne;Yvelines;Île-de-France;France;Jean Monnet (1888-1979) est l’un des pères fondateurs de l’Europe. Issu d’une famille de négociants en cognac, il commence sa carrière dans l’entreprise familiale. Nommé responsable de la coordination des ressources alliées pendant la Grande Guerre, il devient, en 1919, le numéro deux de la Société des Nations. Au lendemain de la Seconde Guerre mondiale, il met en place le premier Commissariat au plan pour équiper et moderniser la France. Grand artisan de la paix, Jean Monnet développe alors l’idée d’un rapprochement avec l’Allemagne et d’une union des pays européens. C’est dans sa maison qu’en avril 1950 il conçoit le projet de la Communauté européenne du charbon et de l’acier. Il décède à Bazoches en mars 1979. Ses cendres sont déposées au Panthéon en 1988.   C’est dans la maison de Bazoches-sur- Guyonne, acquise en 1945, qu’il rédige aux côtés de Robert Schuman le texte fondateur de l'actuelle Communauté européenne.;Propriété du Parlement Européen, association Loi 1901.;;https://jean-monnet.fr/musee-maison-jean-monnet/modalites-de-visite;https://www.facebook.com/Maison-Jean-Monnet-582194921791273/;https://twitter.com/ajmonnet;;;labellisee-en-2013;maison-des-illustres;;;;;;;;;;;;histoire-et-politique;48.770432,1.852407
APN00_84_MI158;Château de la Bastie d'Urfé;La Bâtie;42130;Saint-Étienne-le-Molard;Loire;Auvergne-Rhône-Alpes;France;"Honoré d’Urfé (1567-1625), né dans une famille noble originaire du Forez et alliée à la maison de Savoie, est l’auteur de ""L’Astrée"", premier roman-fleuve (plus de 5000 pages) de la littérature française et dont l’influence fut considérable au XVIIe siècle. Unique en France, le château de la Bâtie d'Urfé est une ancienne maison-forte médiévale. Transformé en joyau de la renaissance par Claude d'Urfé, ambassadeur de François 1er et grand-père d’Honoré d’Urfé, il regorge de créations insolites, notamment une grotte de rocaille. Le domaine est racheté en 1909 par la Diana, société historique et archéologique du Forez. Depuis plus de vingt ans, le département de la Loire entreprend d'importantes campagnes de restauration. Il assure la gestion et l'animation du site depuis janver 2007.";Depuis le 1er janvier 2007, la Bâtie d’Urfé est exploitée par le Conseil général de la Loire. La Société Diana reste propriétaire de la majeure partie du mobilier du château.;;http://www.loire.fr/jcms/c_561852/;;;;;labellisee-en-2011;maison-des-illustres;monument-historique;;musee-de-france;;;;;;;;;;45.730785,4.089402
APN00_32_MI124;Maison familiale d'Henri Matisse;26 rue du Château;02110;Bohain-en-Vermandois;Aisne;Hauts-de-France;France;Henri Matisse (1869-1954) est un dessinateur, sculpteur et peintre, chef de file du fauvisme. C’est dans cette maison familiale, une graineterie ouverte par ses parents, que Matisse passe les vingt premières années de sa vie et découvre sa vocation, grâce à sa mère qui lui offre sa première boîte de couleurs. Son œuvre restera influencée par son enfance à Bohain : goût du travail, des couleurs du tissu qu’il collectionne, mais aussi passion pour les fleurs et les plantes qu’il découvre dans le magasin familial. Le travail chromatique de Matisse, reconnaissable à ses lignes simples et fortes, a profondément influencé des artistes abstraits contemporains comme Jackson Pollock ou Mark Rothko. Dans ce lieu d'évocation et de mémoire, les visiteurs peuvent aujourd'huidécouvrir une exposition permanente sur l’activité textile de la ville de Bohain, ainsi que la reconstitution de la chambre et de l'atelier présentant le mobilier de l'artiste.;Propriété de la ville de Bohain-en-Vermandois.;;www.musee-matisse.com;https://www.facebook.com/MaisonfamilialeMatisse/;https://twitter.com/maisonmatisse;;;labellisee-en-2012;maison-des-illustres;;tourisme-et-handicap;;;;;;;arts-et-architecture;;;;49.986516,3.456308
APN00_24_MI044;Domaine de Georges Sand à Nohant;2 place Sainte-Anne;36400;Nohant-Vic;Indre;Centre-Val de Loire;France;"De son vrai nom Aurore Dupin, George Sand (1804-1876) est l’auteure de près de soixante-dix romans, de nouvelles, de contes, de pièces de théâtre, de critiques littéraires, de pamphlets et d’une volumineuse correspondance. Son œuvre abondante prend souvent le Berry comme cadre et source d’inspiration. George Sand ouvre ses romans à la question sociale en défendant les ouvriers, les déclassés et surtout les paysans à travers des romans champêtres idéalisés comme ""La Mare au diable"", ""La Petite Fadette"", ""François le Champi"". Passionnée, libre et indépendante, elle est attachée au mouvement d’émancipation des femmes et s’engage dans la révolution de 1848 avec ferveur. Construits à la fin du XVIIIe siècle pour le gouverneur de Vierzon, ce petit château et ses dépendances sont rapidement acquis par Madame Dupin de Francueil, la grand-mère de George Sand. Celle-ci y passe son enfance et son adolescence. Plus tard, elle y reçoit ses amis, comme Liszt, Balzac, Flaubert et Frédéric Chopin, qui y passa sept étés et y composa la majeure partie de ses œuvres.";Propriété de l’État Gestion : Centre des monuments nationaux.;;http://maison-george-sand.monuments-nationaux.fr/;https://www.facebook.com/MaisonDeGeorgeSandANohant/;https://twitter.com/a_nohant_vic;;;labellisee-en-2011;maison-des-illustres;monument-historique;;;;;jardin-remarquable;;litterature-et-idees;;;;;46.625385,1.97558
APN00_24_MI045;Maison de La Devinière – Musée Rabelais;Rue de la Devinière;37500;Seuilly;Indre-et-Loire;Centre-Val de Loire;France;"François Rabelais (vers 1483-1553), est l'un des grands humanistes français de la Renaissance. Penseur et théoricien de l'éducation, il est surtout connu comme l'auteur de ""Pantagruel"" et ""Gargantua"". Il est d’abord moine et traducteur, puis médecin, avant de se consacrer à l’écriture. Dans sa vie et dans son œuvre, Rabelais conjugue foi en Dieu, discours anticléricaux, pensée humaniste et sens de la farce. Homme de savoirs, érudit polyvalent, il s’inscrit dans la formation de l’ «homme moderne» à la Renaissance. Lieu de naissance de Rabelais, La Devinière est située à Seuilly, à proximité de Chinon. L'écrivain fait de sa maison et du paysage alentour le décor naturel des aventures de Gargantua. Le musée Rabelais devient à la fois «château» des géants et épicentre des guerres picrocholines.";Propriété du Conseil départemental d’Indre-et-Loire.;;http://www.musee-rabelais.fr/;https://www.facebook.com/museerabelais.ladeviniere/;https://twitter.com/la_deviniere;https://www.instagram.com/museerabelais/;;labellisee-en-2011;maison-des-illustres;monument-historique;;musee-de-france;;;;;litterature-et-idees;;;;;47.140475,0.179556
APN00_24_MI230;Château de Denainvilliers;1 rue Duhamel du Monceau;45300;Dadonville;Loiret;Centre-Val de Loire;France;Henri Louis Duhamel du Monceau (1700 – 1782) est un des plus grands scientifiques du XVIIIe siècle. Il résida une grande partie de sa vie au château de Denainvilliers, demeure familiale construite de 1600 à 1628.   Infatigable inventeur, il s’illustra dans de multiples disciplines telles que la météorologie, la chimie mais aussi la médecine et l’ingénierie navale. Nommé Inspecteur Général de la Marine, il créa l’Ecole du Génie maritime. Son œuvre la plus remarquable porte sur la botanique et l’agronomie, domaines dans lesquels il mit au point d'importantes techniques comme le silo à grain qu’il découvrit en 1750. Il introduisit par ailleurs de nombreuses espèces botaniques en France notamment dans le jardin du château de Denainvilliers qui fut un de ses lieux d’expérimentation. Ses travaux sur le safran du gâtinais lui valurent d’entrer à l’Académie royale des sciences en 1727 dans laquelle il demeura jusqu’à sa mort.;Propriété privée.;;https://denainvilliers.wixsite.com/website-1;;;;;labellisee-en-2018;maison-des-illustres;monument-historique;;;;;;;;;sciences-et-industrie;;;48.150866,2.239623
APN00_93_MI140;Musée de l'atelier Paul Cézanne;9 avenue Paul-Cézanne;13090;Aix-en-Provence;Bouches-du-Rhône;Provence-Alpes-Côte d’Azur;France;"Paul Cézanne (1839-1906) est un peintre impressionniste qui a fait de la Provence et des environs d’Aix sa source d’inspiration favorite. En 1901, il achète un terrain sur la colline des Lauves pour y établir son atelier, à deux pas du canal du Verdon. Le rez-de-chaussé est aménagé pour la vie domestique, alors que le premier étage forme un véritable atelier, éclairé par de grandes fenêtres au sud et par une verrière au nord. C’est ici qu’il peint ses dernières toiles : ""Les Grandes Baigneuses"", ""Portrait du jardinier Vallier"" ou ""Vues du jardin"". Les jours de pluie ou de froid, ne pouvant sortir à la recherche d'un motif, il se sert des objets encombrant son atelier comme modèles pour ses natures mortes. Le musée propose de découvrir le quotidien de cet artiste extraordinaire grâce au mobilier conservé et à son matériel de travail.";Propriété de la ville d'Aix-en-Provence.;;;https://www.facebook.com/ateliercezanne/;;;;labellisee-en-2012;maison-des-illustres;monument-historique;;musee-de-france;;;;;;arts-et-architecture;;;;43.537816,5.446601
APN00_27_MI198;Maison Jacques Copeau;4 rue Jacques Copeau;21420;Pernand-Vergelesses;Côte-d'Or;Bourgogne – Franche-Comté;France;Jacques Copeau est une figure majeure du théâtre du XXe siècle, metteur en scène, théoricien et pédagogue, il fonde en 1913 le Théâtre du Vieux Colombier à Paris. En compagnie de Louis Jouvet et Charles Dullin, il jette les bases d’une rénovation profonde de l’art dramatique. En 1925, il s’installe à Pernand-Vergelesses où une partie de ses comédiens le rejoignent. Ils sont baptisés « les Copiaus » par les habitants et créent des spectacles qu’ils font tourner jusqu’en 1929 en Bourgogne et au-delà, expérimentant le projet d’une « comédie nouvelle » et ouvrant la voie à l’aventure de la décentralisation. La maison, où Copeau demeure jusqu’à sa mort en 1949, se transmet dans la famille. Plusieurs générations d’hommes et femmes du théâtre français trouvent, dans ce lieu, l’énergie et le ressourcement nécessaires auprès de Marie-Hélène Dasté, sa fille, puis de Catherine Dasté, sa petite-fille. En 2004, la maison est acquise par le metteur en scène Jean-Louis Hourdin, qui confirme sa vocation de lieu de transmission, de rencontres et de création autour du théâtre. La maison et les jardins sont inscrits au titre des monuments historiques tant pour leurs qualités architecturales (maison du XVIIIe siècle caractéristique de la côte viticole) que pour leur lien avec l’histoire théâtrale. Au premier étage de la maison, les chambres de Copeau et de sa femme Agnès sont restées en l’état.;Propriété privée.;;http://www.maisonjacquescopeau.fr;https://www.facebook.com/maisonjacquescopeau/;;;;labellisee-en-2014;maison-des-illustres;monument-historique;;;;;;;;;;musique-theatre-et-cinema;;47.079173,4.851154
APN00_84_MI153;Maison-musée Hector Berlioz;69 rue de la République;38261;La Côte-Saint-André;Isère;Auvergne-Rhône-Alpes;France;"Musicien et compositeur, Hector Berlioz (1803-1869) étudie au Conservatoire de Paris de 1823 à 1825. Lauréat du prix de Rome, il compose en 1830 la ""Symphonie fantastique"". De 1842 à 1868, il entreprend de grandes tournées en tant que chef d’orchestre à travers l’Europe. Rencontrant des difficultés à vivre de son art, il collabore à de nombreux journaux en qualité de critique musical. Berlioz vit les dix-huit premières années de sa vie à la Côte-Saint-André. Les murs de la maison familiale sont les premiers témoins de sa passion pour la musique. Ce compositeur novateur est aujourd'hui considéré comme l'un des plus grands représentants du romantisme européen. Depuis 1935, chacune des pièces du musée dévoile une facette de sa vie, éclairée par sa correspondance, ses partitions, diplômes, couronnes et médailles honorifiques, objets et mobilier... Chaque année, en août, le Festival Berlioz constitue un temps fort : conférences et concerts « sous le balcon d'Hector » sont alors proposés pour le plaisir de tous.";Propriété du département de l’Isère.;;http://www.musee-hector-berlioz.fr/;https://www.facebook.com/musee.hectorberlioz/;https://twitter.com/museeberlioz;https://www.instagram.com/museehectorberlioz/;;labellisee-en-2011;maison-des-illustres;monument-historique;;;;;;;;;;musique-theatre-et-cinema;;
